logP0_crit           	m1iso_crit         	phases_crit	logP0_hub            	m1iso_hub          	phases_hub	logP0_RHeRL	m1iso_RHeRL	logP0_critL2         	m1iso_critL2      	logP0_hubL2         	m1iso_hubL2        	logP0_RHeRLL2         	m1iso_RHeRLL2      	logP0_critL2_DEF   	m1iso_critL2_DEF	logP0_hubL2_DEF    	m1iso_hubL2_DEF  	logP0_RHeRLL2_DEF  	m1iso_RHeRLL2_DEF	m2iso_crit         	m2iso_RHeRL	m2iso_PmergeMIN	logL_Lsun	logTeff	HR_phases	logP0_PmergeMIN	m1iso_PmergeMIN	q_band             	mtot_band         	m1iso_HD	mtot_yes          	qfin_yes           	m1_yes             	logP0_yes           	q_yes              	mtot_yesL2        	qfin_yesL2         	m1_yesL2          	logP0_yesL2         	q_yesL2            	mtot_yesL2_DEF  	qfin_yesL2_DEF    	m1_yesL2_DEF    	logP0_yesL2_DEF   	q_yesL2_DEF       
-0.3759421596817194  	0.4411023121737325 	9          	-0.3686784091115889  	0.49031320985381965	9         	 /         	 /         	-0.334881454078975   	0.8329510109154983	-0.27971679299537533	3.6339579714242887 	3.024067600987774     	0.3255570344219946 	-0.33468195206889234 	0.8357977823447444	-0.2789662461108596  	3.8386291503906254 	3.024067600987774    	0.32667832246528805	0.22610000000000002	 /         	 /             	0.8216   	3.8823 	9        	 /             	 /             	0.6525252525252525 	0.7171000000000001	 /      	0.6066            	0.5942181340341655 	0.38050000000000006	0.12406760098777359 	0.5942181340341655 	0.9296            	0.32139303482587067	0.7035            	0.12406760098777359 	0.32139303482587067	0.9211            	0.32532374100719424 	0.6950000000000001	0.12406760098777359 	0.32532374100719424 
-0.333158693080321   	0.4244839904936374 	27         	-0.32418781178574574 	0.48345901565551863	27        	 /         	 /         	-0.2924583063750283  	0.7913666370858895	-0.23587901633631833	3.302945536443182  	3.0031309463028046    	0.32772038435177764	-0.2922633590226329  	0.7939572996836591	-0.23483671537211476 	3.5126794433593744 	3.0089659824212487   	0.3282163624218454 	0.22610000000000002	 /         	 /             	0.8609   	3.877  	30       	 /             	 /             	0.46048879837067214	0.5726            	 /      	0.6151            	0.5812339331619538 	0.389              	0.12406760098777359 	0.5812339331619538 	0.9381000000000002	0.3175561797752809 	0.7120000000000001	0.12406760098777359 	0.3175561797752809 	0.9296            	0.32139303482587067 	0.7035            	0.12406760098777359 	0.32139303482587067 
-0.27490701429042513 	0.40605793773680204	27         	-0.264112408038954   	0.47452653053331895	27        	 /         	 /         	-0.23464188304896888 	0.7463465226534391	-0.17680165370441853	2.945084110773368  	2.9852832967628724    	0.3295             	-0.23445707458815068 	0.7486136810017257	-0.1755230754710612  	3.1474792480468743 	2.9958935818277532   	0.3295             	0.22610000000000002	 /         	 /             	0.898    	3.8658 	33       	 /             	 /             	 /                 	 /                	 /      	0.6236            	0.5688050314465409 	0.3975             	0.12406760098777359 	0.5688050314465409 	0.9466000000000001	0.31380985426786956	0.7205            	0.12406760098777359 	0.31380985426786956	0.9381000000000002	0.3175561797752809  	0.7120000000000001	0.12406760098777359 	0.3175561797752809  
-0.2089091189204674  	0.38822458601537657	 /         	-0.19637184274822414 	0.46487298791128334	 /        	 /         	 /         	-0.1691039352850979  	0.703825076495924 	-0.11027226529588477	2.629657236453813  	2.9581767661465626    	0.3323992790384971 	-0.16893276511385572 	0.7057662081884772	-0.10878401161463623 	2.812996826171875  	2.9638091938115765   	0.33287803539002325	0.22610000000000002	 /         	 /             	0.9285   	3.8504 	 /       	 /             	 /             	 /                 	 /                	 /      	0.6321000000000001	0.5568965517241379 	0.406              	0.12406760098777359 	0.5568965517241379 	0.9551000000000001	0.3101508916323731 	0.7290000000000001	0.12406760098777359 	0.3101508916323731 	0.9466000000000001	0.31380985426786956 	0.7205            	0.12406760098777359 	0.31380985426786956 
-0.1356099597001849  	0.3717841736429184 	 /         	-0.12154581268573467 	0.4546908845322916 	 /        	 /         	 /         	-0.09626532726174702 	0.6655092906726394	-0.03682293410018084	2.3568405767329517 	2.9240676009877737    	0.33592234492158296	-0.09610906554636237 	0.6671555774024612	-0.035280387396631946	2.514351806640625  	2.9240676009877737   	0.33691496023597994	0.22610000000000002	 /         	 /             	0.9525   	3.8309 	 /       	 /             	 /             	 /                 	 /                	 /      	0.6406000000000001	0.5454764776839566 	0.41450000000000004	0.12406760098777359 	0.5454764776839566 	0.9636            	0.3065762711864407 	0.7375            	0.12406760098777359 	0.3065762711864407 	0.9551000000000001	0.3101508916323731  	0.7290000000000001	0.12406760098777359 	0.3101508916323731  
-0.06416692476494572 	0.3618949146754383 	 /         	-0.049629319650780476	0.4453477427707305 	 /        	 /         	 /         	-0.025117408841359535	0.6428590315433577	0.03377220434873161 	2.147373527453699  	2.9135618706962294    	0.3371070129252187 	-0.024970854399852135	0.6443352809816825	0.0353633677300863   	2.278848876953125  	2.9185312448810867   	0.33752940973093165	0.22610000000000002	 /         	 /             	0.9677   	3.8103 	 /       	 /             	 /             	 /                 	 /                	 /      	0.6491            	0.5345153664302601 	0.42300000000000004	0.12406760098777359 	0.5345153664302601 	0.9721000000000002	0.303083109919571  	0.7460000000000001	0.12406760098777359 	0.303083109919571  	0.9636            	0.3065762711864407  	0.7375            	0.12406760098777359 	0.3065762711864407  
-0.011846293897929822	0.36328082051811994	 /         	0.001420972757438505 	0.4389624866778819 	 /        	 /         	 /         	0.027245431972758243 	0.6460155757544277	0.0838982443302627  	2.022009132258776  	2.9054123470444004    	0.338              	0.027393372517640104 	0.6475152331887134	0.0855170971590317   	2.1354992675781252 	2.914164251844465    	0.338              	0.22610000000000002	 /         	 /             	0.9734   	3.7944 	 /       	 /             	 /             	 /                 	 /                	 /      	0.5726            	0.6525252525252525 	0.34650000000000003	0.02406760098777365 	0.6525252525252525 	0.9806000000000001	0.2996686547382373 	0.7545000000000001	0.12406760098777359 	0.2996686547382373 	0.9721000000000002	0.303083109919571   	0.7460000000000001	0.12406760098777359 	0.303083109919571   
0.026524401580231356 	0.33724565949068475	 /         	0.04424348452598477  	0.4337563449192264 	 /        	 /         	 /         	0.06477409656177649  	0.5876636880380144	0.12595823469744108 	1.9287313748933308 	2.8711894204922777    	0.34200535465788284	0.06489509685793146  	0.5887511354198728	0.12751015642858393  	2.0279870605468746 	2.875881504040079    	0.342404181759446  	0.22610000000000002	 /         	 /             	1.0523   	3.7996 	 /       	 /             	 /             	 /                 	 /                	 /      	0.5811000000000001	0.6369014084507043 	0.35500000000000004	0.02406760098777365 	0.6369014084507043 	0.9891000000000001	0.2963302752293578 	0.763             	0.12406760098777359 	0.2963302752293578 	0.9806000000000001	0.2996686547382373  	0.7545000000000001	0.12406760098777359 	0.2996686547382373  
0.1703014428151026   	0.39665979045940536	 /         	0.1740937205720715   	0.4187505042391401 	 /        	 /         	 /         	0.21032912664732417  	0.7238113722942675	0.25358273212936816 	1.6963659419431918 	2.8316911344469333    	0.34650000000000003	0.21050713931803536  	0.7259068845515745	0.25508638013213053  	1.7566467285156249 	2.8392340867633497   	0.34650000000000003	0.22610000000000002	 /         	 /             	1.1058   	3.8178 	 /       	 /             	 /             	 /                 	 /                	 /      	0.5896000000000001	0.6220082530949106 	0.36350000000000005	0.02406760098777365 	0.6220082530949106 	0.9976            	0.2930654569021387 	0.7715000000000001	0.12406760098777359 	0.2930654569021387 	0.9891000000000001	0.2963302752293578  	0.763             	0.12406760098777359 	0.2963302752293578  
0.23913941369262412  	1.1663966641078862 	 /         	0.17617236394256613  	0.41862229496892145	 /        	 /         	 /         	0.28109530453760484  	8.583386602606494 	0.2556169319652623  	1.6934660633070995 	2.82855147627102      	0.34688112939907595	0.28109826172913943  	8.570101557285756 	0.2571302094803863   	1.753233642578125  	2.8329199315485907   	0.3472524480976695 	0.2263             	 /         	 /             	1.0631   	3.7582 	 /       	 /             	 /             	 /                 	 /                	 /      	0.5981000000000001	0.6077956989247312 	0.37200000000000005	0.02406760098777365 	0.6077956989247312 	1.0061            	0.2898717948717949 	0.78              	0.12406760098777359 	0.2898717948717949 	0.9976            	0.2930654569021387  	0.7715000000000001	0.12406760098777359 	0.2930654569021387  
