logP0_crit           	m1iso_crit        	phases_crit	logP0_hub            	m1iso_hub         	phases_hub	logP0_RHeRL          	m1iso_RHeRL       	logP0_critL2        	m1iso_critL2      	logP0_hubL2        	m1iso_hubL2       	logP0_RHeRL          	m1iso_RHeRL       	m2iso_crit	m2iso_RHeRL       	m2iso_PmergeMIN   	logL_Lsun	logTeff	HR_phases	logP0_PmergeMIN      	m1iso_PmergeMIN   	q_band             	mtot_band         	m1iso_HD	mtot_yes          	qfin_yes           	m1_yes            	logP0_yes          	q_yes              	mtot_yesL2        	qfin_yesL2         	m1_yesL2          	logP0_yesL2        	q_yesL2            
-0.013653866721196216	6.8492430007132725	9          	0.0030091534319857333	9.052950421522558 	9         	3.386355893948297    	2.1285187917910404	0.010214609540624007	10.324360773630966	0.04732018230118191	26.774802431584657	3.386355893948297    	2.98531869860177  	5.8313    	5.968149456740006 	5.941502750327926 	4.3742   	4.4928 	9        	3.386355893948297    	2.592319137099765 	0.6511627906976744 	19.269999999999996	 /      	3.55              	0.6511627906976744 	2.15              	3.386355893948297  	0.6511627906976744 	4.47              	0.45602605863192186	3.07              	3.286355893948297  	0.45602605863192186
0.050107786725280115 	6.411038979795829 	23         	0.06776823209424283  	8.561672474021321 	23        	3.3540418222369968   	2.13707437131548  	0.07371685585224713 	9.510859428668322 	0.11052322014716785	22.451189054506457	3.380791426470636    	2.9877742130089353	5.8313    	5.907338945252908 	5.897124645294135 	4.4488   	4.4888 	24       	3.359108945339053    	2.615941314238445 	0.07834359261331841	3.55              	 /      	3.59              	0.639269406392694  	2.19              	3.386355893948297  	0.639269406392694  	4.51              	0.45016077170418006	3.11              	3.286355893948297  	0.45016077170418006
0.12212547183888056  	5.981140847887732 	28         	0.14084298459356137  	8.075183585138754 	28        	3.305217271730821    	2.15              	0.1454319481025137  	8.73633850547838  	0.1820774608832924 	19.242136000839377	3.375747145134579    	2.9899999999999998	5.8313    	5.893460933776895 	5.8912097831206856	4.5193   	4.4809 	30       	3.2943962496112804   	2.65              	 /                 	 /                	 /      	3.63              	0.6278026905829597 	2.23              	3.386355893948297  	0.6278026905829597 	4.55              	0.44444444444444436	3.15              	3.286355893948297  	0.44444444444444436
0.20123473111871668  	5.565109548479797 	 /         	0.2211216702119556   	7.6077712104655335	 /        	3.294041458727817    	2.1530742259118076	0.22419646552942762 	8.007878457397565 	0.26090927097117755	16.77859282303592 	3.333850266606134    	3.0089977490631346	5.8313    	5.892464714047976 	5.825189567794741 	4.5832   	4.4689 	 /       	3.243308140227052    	2.7211903078484436	 /                 	 /                	 /      	3.67              	0.6167400881057268 	2.27              	3.386355893948297  	0.6167400881057268 	4.59              	0.438871473354232  	3.19              	3.286355893948297  	0.438871473354232  
0.2960671053539356   	5.136077691595652 	 /         	0.31727840795767215  	7.121800941923091 	 /        	3.286355893948297    	2.155188149970772 	0.31861166677332753 	7.2773251555880245	0.3555682669847188 	14.65170475589492 	3.2875291131901485   	3.03              	5.8313    	5.8917895648336485	5.605973358523426 	4.6444   	4.4508 	 /       	3.186355893948297    	2.745334048554237 	 /                 	 /                	 /      	3.71              	0.606060606060606  	2.31              	3.386355893948297  	0.606060606060606  	4.63              	0.43343653250773995	3.23              	3.286355893948297  	0.43343653250773995
0.4068194052050503   	4.706070122123984 	 /         	0.42954256958123205  	6.634926249671515 	 /        	3.2347888924180146   	2.169373199387887 	0.42887275009185927 	6.565226826763993 	0.4663296617390422 	12.839040207157112	3.2869870673711152   	3.030252469369127 	5.8313    	5.855949115273483 	5.6293787193520295	4.6999   	4.4258 	 /       	3.107240233096836    	2.801105423935674 	 /                 	 /                	 /      	3.75              	0.5957446808510638 	2.35              	3.386355893948297  	0.5957446808510638 	4.67              	0.4281345565749235 	3.27              	3.286355893948297  	0.4281345565749235 
0.5347175579334318   	4.273991125993876 	 /         	0.5592988137188816   	6.156220212861404 	 /        	3.186355893948297    	2.182695014605064 	0.5561905309353097  	5.869141362042221 	0.5945968583696308 	11.288430524824472	3.286355893948297    	3.0305464291764586	5.8313    	5.666458445752386 	5.794972590491599 	4.7495   	4.3934 	 /       	2.986355893948297    	2.8510253603189204	 /                 	 /                	 /      	3.79              	0.5857740585774058 	2.39              	3.386355893948297  	0.5857740585774058 	4.71              	0.4229607250755287 	3.31              	3.286355893948297  	0.4229607250755287 
0.6150122187700235   	3.9756948352488757	 /         	0.6417664326299313   	5.88943143870761  	 /        	3.1755349965658035   	2.1856716410470023	0.6360252223391389  	5.399572543617335 	0.6762260456373747 	10.503870644020429	3.2407816228962805   	3.051770291579193 	5.8313    	5.626031532185262 	5.795526510512954 	4.7867   	4.3742 	 /       	2.9631605507684533   	2.871005821025195 	 /                 	 /                	 /      	3.83              	0.5761316872427983 	2.43              	3.386355893948297  	0.5761316872427983 	4.75              	0.41791044776119396	3.35              	3.286355893948297  	0.41791044776119396
0.6592450640080942   	3.7684705470908297	 /         	0.688194932287568    	5.750070763649763 	 /        	3.159799013492455    	2.19              	0.6799059917585385  	5.078524438725283 	0.7222133483849875 	10.113558409345393	3.201634151401016    	3.07              	5.8313    	5.5684386517825155	5.797344419614666 	4.837    	4.4204 	 /       	2.879959097483232    	2.9               	 /                 	 /                	 /      	3.8699999999999997	0.5668016194331984 	2.4699999999999998	3.386355893948297  	0.5668016194331984 	4.79              	0.41297935103244837	3.39              	3.286355893948297  	0.41297935103244837
0.8108288042593972   	3.459120218156292 	 /         	0.8409068636094928   	5.337867825210474 	 /        	3.1169506923852146   	2.202237919374767 	0.8309080587803694  	4.606983468538794 	0.8736084149139742 	9.028846826875979 	3.194675290409553    	3.0733277585845022	5.8287    	5.568297081128493 	5.798455264612497 	4.8256   	4.368  	 /       	2.824780120984069    	2.948030283794715 	 /                 	 /                	 /      	3.9099999999999997	0.5577689243027889 	2.51              	3.386355893948297  	0.5577689243027889 	4.83              	0.40816326530612235	3.43              	3.286355893948297  	0.40816326530612235
0.959994259897593    	3.1960241656853428	 /         	0.9911637547552723   	4.989910221384278 	 /        	3.086355893948297    	2.210975487788453 	0.9795190399865092  	4.213130560415445 	1.0227354885160609 	8.184244409734447 	3.186355893948297    	3.0773058727847067	5.8228    	5.638147055782448 	5.799167893808676 	4.8426   	4.3196 	 /       	2.786355893948297    	2.9677504164353135	 /                 	 /                	 /      	3.9499999999999997	0.5490196078431373 	2.55              	3.386355893948297  	0.5490196078431373 	4.87              	0.4034582132564841 	3.47              	3.286355893948297  	0.4034582132564841 
1.1030530226617175   	2.974212540495329 	 /         	1.135279382950548    	4.699894886841326 	 /        	3.0586077259669984   	2.2189007328074806	1.1220616851614715  	3.886155048604232 	1.1658822733216216 	7.521820070815005 	3.149124887934089    	3.0951075975943168	5.8218    	5.6986957906710245	5.800712182169768 	4.8514   	4.2702 	 /       	2.7165741961160945   	3.062772877709747 	 /                 	 /                	 /      	3.9899999999999998	0.5405405405405405 	2.59              	3.386355893948297  	0.5405405405405405 	4.91              	0.39886039886039887	3.51              	3.286355893948297  	0.39886039886039887
1.2471178115185733   	2.7780744793951215	 /         	1.2803453670865033   	4.442203359985713 	 /        	3.0197441888902667   	2.23              	1.2656283702514817  	3.600871186123489 	1.3100715368892    	6.962440372904518 	3.1179767808324987   	3.11              	5.8187    	5.779237588294759 	5.802611453542175 	4.8547   	4.2217 	 /       	2.586355893948297    	3.1379781741975057	 /                 	 /                	 /      	3.59              	0.639269406392694  	2.19              	3.286355893948297  	0.639269406392694  	4.949999999999999 	0.39436619718309857	3.55              	3.286355893948297  	0.39436619718309857
