logP0_crit          	m1iso_crit          	phases_crit	logP0_hub            	m1iso_hub         	phases_hub	logP0_RHeRL           	m1iso_RHeRL       	logP0_critL2        	m1iso_critL2        	logP0_hubL2         	m1iso_hubL2        	logP0_RHeRLL2     	m1iso_RHeRLL2     	logP0_critL2_DEF 	m1iso_critL2_DEF  	logP0_hubL2_DEF 	m1iso_hubL2_DEF 	logP0_RHeRLL2_DEF	m1iso_RHeRLL2_DEF	m2iso_crit	m2iso_RHeRL       	m2iso_PmergeMIN	logL_Lsun	logTeff	HR_phases	logP0_PmergeMIN	m1iso_PmergeMIN	q_band            	mtot_band         	m1iso_HD	mtot_yes          	qfin_yes          	m1_yes            	logP0_yes            	q_yes             	mtot_yesL2        	qfin_yesL2         	m1_yesL2          	logP0_yesL2      	q_yesL2            	mtot_yesL2_DEF  	qfin_yesL2_DEF   	m1_yesL2_DEF    	logP0_yesL2_DEF	q_yesL2_DEF      
-0.21218338301954034	1.6739468116175036  	9          	-0.20242690714328357 	1.9417482417483005	9         	3.087826377649953     	0.6841567577466903	-0.13378976642909798	8.909055981448326   	1.1609814284287192  	152.58233079084957 	3.087826377649953 	2.744744565971986 	-0.1335026027794097	9.024909356646257   	1.9351383947133203	8.965431518554688 	3.087826377649953  	2.6818618224739663 	1.0994    	0.9274752968737531	 /             	2.7333   	4.2276 	9        	 /             	 /             	0.9994545454545453	3.0494            	 /      	1.6573443099611045	0.7871941329220195	0.73              	3.087826377649953    	1.270334671179595 	3.6879357678073466	0.3410675519299442 	2.75              	3.087826377649953	0.3410675519299442 	3.6274670763110697	0.3485007718628513 	2.69              	3.087826377649953	0.3485007718628513 
-0.14369032254831887	1.581854677474249   	20         	-0.13217773361174345 	1.8812527271200257	20        	3.0569225676625615    	0.6869096190012609	-0.06677079055058206	7.243576174953503   	1.161048283836116   	151.9961944509154  	3.0752127582110655	2.7487386380561114	-0.0666247939739847	7.28065792628041    	2.083917871555135 	8.627428588867186 	3.0664366423435885 	2.6878610264693634 	1.0994    	0.9266122099903951	 /             	2.7989   	4.22   	21       	 /             	 /             	0.5637948717948719	1.6573443099611045	 /      	1.6673169649311106	0.7980011452232771	0.74              	3.087826377649953    	1.25313103369069  	3.6980123833901866	0.33985955919934313	2.76              	3.087826377649953	0.33985955919934313	3.637546280278621 	0.347239363066156  	2.7               	3.087826377649953	0.347239363066156  
-0.06694700623808675	1.4892019424993994  	21         	-0.053553023335995646	1.8182689359992736	21        	3.0223703770697137    	0.6900000000000001	0.007878977165594984	5.957256297608872   	1.3110542005281187  	72.78367224162302  	3.0712789774252474	2.75              	0.00736815252266638	5.8709483890177205  	2.2420219957563052	8.308081665039062 	3.058914545288975  	2.69               	1.0994    	0.9273821431292952	 /             	2.8643   	4.2094 	24       	 /             	 /             	 /                	 /                	 /      	1.6772900151149766	0.8088084501880526	0.75              	3.087826377649953    	1.2363866868199684	3.708088579664642 	0.3386601370630477 	2.77              	3.087826377649953	0.3386601370630477 	3.647625044019283 	0.3459871011141265 	2.71              	3.087826377649953	0.3459871011141265 
0.00405283721397824 	1.4142006449387998  	 /         	0.019005101775567933 	1.7641055248912971	 /        	3.004375661345615     	0.6916549283695663	0.07686067662209799 	5.127528940087174   	1.4676081410470627  	46.53924277797759  	3.0514092617391007	2.7563582884089146	0.07587980842189024	5.002872590676191   	2.3865899501808396	7.106415405273437 	3.0403908861377253 	2.6952564508487775 	1.0994    	0.9342889129029663	 /             	2.9155   	4.1973 	 /       	 /             	 /             	 /                	 /                	 /      	1.6872634508049662	0.8196160426038972	0.76              	3.087826377649953    	1.2200834879012714	3.7181643599836307	0.33746919423871624	2.78              	3.087826377649953	0.33746919423871624	3.6577033711176066	0.34474388644029674	2.7199999999999998	3.087826377649953	0.34474388644029674
0.0900638884447624  	1.335072041184278   	 /         	0.10667255645445832  	1.7031838536147765	 /        	2.9878263776499527    	0.6931835513716246	0.1621511933744175  	4.574179344577664   	1.6309121088360334  	29.64201339503591  	3.0401704976442443	2.76              	0.16160797950430522	4.517009481331377   	2.534858269560978 	6.169225463867187 	3.0239028599356996 	2.7                	1.0994    	0.940473230132217 	 /             	2.9663   	4.18   	 /       	 /             	 /             	 /                	 /                	 /      	1.697237262642524 	0.8304239173969185	0.77              	3.087826377649953    	1.204204237198083 	3.728239727663367 	0.33628664073955816	2.79              	3.087826377649953	0.33628664073955816	3.6677812651181343	0.34350962092239345	2.73              	3.087826377649953	0.34350962092239345
0.19266080409792458 	1.2543940216354867  	 /         	0.2109467936158989   	1.6364269351504048	 /        	2.9512089668562584    	0.6963382589206306	0.2641940565037828  	4.098245185959161   	1.789522105993404   	19.33257240788731  	3.0278067305103367	2.763998035286038 	0.2639349514715643 	4.0754218947913525  	2.6851438973373316	5.292393188476562 	3.0145829128975232 	2.702675653524757  	1.0994    	0.9535975306920812	 /             	3.0132   	4.1561 	 /       	 /             	 /             	 /                	 /                	 /      	1.70721144160161  	0.8412320696266156	0.78              	3.087826377649953    	1.1887326174379615	3.738314685983876 	0.33511238785138425	2.8               	3.087826377649953	0.33511238785138425	3.6778587295259686	0.34228420785619307	2.7399999999999998	3.087826377649953	0.34228420785619307
0.28851218874173207 	1.1892606658542642  	 /         	0.3081424869031745   	1.5791175803242858	 /        	2.909413902801461     	0.7000000000000001	0.35948612279063974 	3.7439421909842667  	1.9419852548903824  	13.58534096674988  	3.009476246506532 	2.77              	0.3594469606327149 	3.740949393027004   	2.836773672451048 	4.685524291992187 	2.9894181631685797 	2.71               	1.0994    	0.9676971523795348	 /             	3.0478   	4.1315 	 /       	 /             	 /             	 /                	 /                	 /      	1.7171859789730313	0.8520404944809659	0.79              	3.087826377649953    	1.173653137940546 	3.748389238189503 	0.33394634811014345	2.81              	3.087826377649953	0.33394634811014345	3.6879357678073466	0.3410675519299442 	2.75              	3.087826377649953	0.3410675519299442 
0.35036501336451653 	1.1430804303375461  	 /         	0.37127437504579847  	1.5441650434929701	 /        	2.8980242118309327    	0.7010197834180981	0.4208757559991619  	3.507107003509973   	2.088032156660636   	10.517021793703174 	3.004403072526475 	2.7716576694876522	0.42096379624874825	3.5131912740358073  	2.9872779686207678	4.976338500976563 	2.9890104617872244 	2.7101184084137273 	1.0994    	0.9713844541056996	 /             	3.0795   	4.1179 	 /       	 /             	 /             	 /                	 /                	 /      	1.7271608663496887	0.8628491872717495	0.8               	3.087826377649953    	1.1589510829371108	3.7584633874894147	0.3327884352799344 	2.82              	3.087826377649953	0.3327884352799344 	3.6980123833901866	0.33985955919934313	2.76              	3.087826377649953	0.33985955919934313
0.40931025564128076 	1.0637268656149779  	 /         	0.43385174894299283  	1.5111320955080303	 /        	2.8878263776499526    	0.7019479383031096	0.47888227789724924 	3.125088868284269   	2.243626183535362   	8.935357051334563  	2.9878263776499527	2.777142021859522 	0.4791179395776044 	3.1387825376347323  	3.146198635903245 	4.644920043945312 	2.9878263776499527 	2.7104670458103004 	1.0994    	0.9746315953597171	 /             	3.163    	4.1695 	 /       	 /             	 /             	 /                	 /                	 /      	2.008736646759706 	0.8282239449131773	0.91              	1.2878263776499526   	1.2074029085271496	3.7685371370580896	0.33163856433148037	2.83              	3.087826377649953	0.33163856433148037	3.708088579664642 	0.3386601370630477 	2.77              	3.087826377649953	0.3386601370630477 
0.559602475010119   	0.9964267837470526  	 /         	0.5853593202321516   	1.4370956273187152	 /        	2.836255456750569     	0.7048429079100617	0.6282207503335123  	2.8233781280527372  	2.3840529408820705  	6.522641974044725  	2.9793461202703724	2.77              	0.6285136814636783 	2.838056345195434   	3.2935536613389216	4.205955200195312 	2.9873211293375865 	2.71               	1.0993    	1.026441622735004 	 /             	3.1673   	4.1185 	 /       	 /             	 /             	 /                	 /                	 /      	2.018737177184506 	0.8373249027192138	0.92              	1.2878263776499526   	1.1942795404179416	3.778610490035799 	0.3304966514210561 	2.84              	3.087826377649953	0.3304966514210561 	3.7181643599836307	0.33746919423871624	2.78              	3.087826377649953	0.33746919423871624
