logP0_crit          	m1iso_crit        	phases_crit	logP0_hub           	m1iso_hub         	phases_hub	logP0_RHeRL           	m1iso_RHeRL       	logP0_critL2        	m1iso_critL2      	logP0_hubL2          	m1iso_hubL2       	logP0_RHeRL          	m1iso_RHeRL       	m2iso_crit	m2iso_RHeRL       	m2iso_PmergeMIN   	logL_Lsun	logTeff	HR_phases	logP0_PmergeMIN      	m1iso_PmergeMIN   	q_band            	mtot_band        	m1iso_HD	mtot_yes          	qfin_yes           	m1_yes            	logP0_yes            	q_yes              	mtot_yesL2        	qfin_yesL2         	m1_yesL2          	logP0_yesL2          	q_yesL2            
-0.1290999679546598 	2.9276128217379473	9          	-0.11874936996189366	3.440477504506961 	9         	3.1709097927148333    	1.0737351634523706	-0.10589211361426482	4.256862230432574 	-0.07631916247223751 	7.6805949375208025	3.1709097927148333   	1.4473846222530076	2.0635    	2.260030607045955 	2.2596086049027617	3.4414   	4.3449 	9        	3.070909792714833    	1.432941173963863 	0.9928571428571428	5.870000000000001	 /      	2.9899999999999998	0.8805031446540881 	1.5899999999999999	1.9709097927148334   	0.8805031446540881 	3.2699999999999996	0.7486631016042781 	1.8699999999999999	1.9709097927148334   	0.7486631016042781 
-0.06413930336231523	2.76005177475152  	24         	-0.05213308322520151	3.320574079917652 	24        	3.1067055156349133    	1.084318289168032 	-0.0412182351687854 	3.9651370088448643	-0.010638738282706717	7.130582276865492 	3.1361370060332976   	1.4560908853273857	2.0635    	2.2597938943511253	2.2592953547548826	3.514    	4.3401 	25       	2.9685766205630824   	1.5220835348103114	0.3131991051454138	2.75             	 /      	3.03              	0.8588957055214723 	1.63              	1.9709097927148334   	0.8588957055214723 	3.3099999999999996	0.7329842931937173 	1.91              	1.9709097927148334   	0.7329842931937173 
0.00586322014910783 	2.60184232792252  	25         	0.01949356466406809 	3.2015525638920237	25        	3.070909792714833     	1.090217414232572 	0.02847806339974823 	3.6955461607651836	0.06005683421219608  	6.631900276501622 	3.0805748702017013   	1.47              	2.0635    	2.2596718169122543	2.259049341064305 	3.5811   	4.3322 	35       	2.870909792714833    	1.5297433933248432	 /                	 /               	 /      	3.07              	0.8383233532934132 	1.67              	1.9709097927148334   	0.8383233532934132 	3.3499999999999996	0.717948717948718  	1.95              	1.9709097927148334   	0.717948717948718  
0.07881676996632425 	2.458066128013289 	 /         	0.09395847045456221 	3.087391116835057 	 /        	3.035882910191449     	1.095989246990646 	0.10111996669484813 	3.4553159142653147	0.13362600219687287  	6.191276638574503 	3.0747568305748088   	1.47153881514399  	2.0635    	2.2595587546596234	2.2589445638054824	3.6399   	4.3213 	 /       	2.811547565490135    	1.5757972159691276	 /                	 /               	 /      	3.11              	0.8187134502923976 	1.71              	1.9709097927148334   	0.8187134502923976 	3.3899999999999997	0.7035175879396984 	1.99              	1.9709097927148334   	0.7035175879396984 
0.16303702772820036 	2.314033019019191 	 /         	0.17971368960961667 	2.9665207209913773	 /        	2.970909792714833     	1.1066937307729814	0.1849924630434558  	3.219071025453602 	0.21842904106841945  	5.759358081345113 	3.070909792714833    	1.4725561577336623	2.0635    	2.259364640622739 	2.162696001142652 	3.6957   	4.3058 	 /       	2.6709097927148333   	1.5911215034965034	 /                	 /               	 /      	3.15              	0.7999999999999999 	1.75              	1.9709097927148334   	0.7999999999999999 	3.43              	0.689655172413793  	2.0300000000000002	1.9709097927148334   	0.689655172413793  
0.2650376675565371  	2.1634522672561673	 /         	0.2833523922762924  	2.833581047128353 	 /        	2.965055275253566     	1.1076581930154932	0.2865869090622533  	2.9766818848032024	0.3210146207165472   	5.319794414372972 	3.0145517886802193   	1.4874567983861544	2.0635    	2.259348092538529 	2.0358707102416593	3.7494   	4.2837 	 /       	2.6385856475581515   	1.609594818554148 	 /                	 /               	 /      	3.19              	0.7821229050279329 	1.79              	1.9709097927148334   	0.7821229050279329 	3.4699999999999998	0.6763285024154589 	2.07              	1.9709097927148334   	0.6763285024154589 
0.3736122038531534  	2.023175648255284 	 /         	0.3935382138607101  	2.7057784506910125	 /        	2.9508376915960746    	1.1099999999999999	0.3947389532416853  	2.7550002720965563	0.4301806573245932   	4.927574930107517 	2.970909792714833    	1.4989938475585312	2.0635    	2.2593085266498463	2.0457016052603314	3.7957   	4.2576 	 /       	2.470909792714833    	1.6310294715257712	 /                	 /               	 /      	3.2299999999999995	0.7650273224043717 	1.8299999999999998	1.9709097927148334   	0.7650273224043717 	3.51              	0.6635071090047393 	2.11              	1.9709097927148334   	0.6635071090047393 
0.42892337280261916 	1.9416056587476658	 /         	0.45021332449888585 	2.6448020315831147	 /        	2.8954616228203154    	1.119820732042193 	0.44978273392639356 	2.6278860518103486	0.48636616843525504  	4.749782280742622 	2.954341968377706    	1.5033728702651492	2.0635    	2.259162373471678 	2.0473280201735236	3.8287   	4.2464 	 /       	2.45952615070116     	1.6357704474829085	 /                	 /               	 /      	2.75              	0.9642857142857142 	1.3499999999999999	1.8709097927148333   	1.037037037037037  	3.55              	0.6511627906976744 	2.15              	1.9709097927148334   	0.6511627906976744 
0.5095817027608756  	1.8090563288593242	 /         	0.5336769727895749  	2.5602449109971896	 /        	2.870909792714833     	1.1241742539216615	0.5299687702322509  	2.424093332684144 	0.5691471224169427   	4.512326184539494 	2.929265606008578    	1.51              	2.0635    	2.2591014915829453	2.0573544501083174	3.8863   	4.2892 	 /       	2.383740839288235    	1.65              	 /                	 /               	 /      	2.79              	0.9928571428571428 	1.39              	1.8709097927148333   	1.0071942446043165 	3.59              	0.639269406392694  	2.19              	1.9709097927148334   	0.639269406392694  
0.641734459837392   	1.6944245497438128	 /         	0.6671253470245497  	2.436806317360521 	 /        	2.8261722296208       	1.1321049747623866	0.6616713291812081  	2.2505728339075968	0.7015859306034042   	4.182773503093862 	2.8948792924077367   	1.5195877998771614	2.0643    	2.2589976799172287	2.0606342751755156	3.8919   	4.2337 	 /       	2.324077912292664    	1.7164601494722882	 /                	 /               	 /      	2.83              	0.9790209790209791 	1.43              	1.8709097927148333   	0.9790209790209791 	3.63              	0.6278026905829597 	2.23              	1.9709097927148334   	0.6278026905829597 
