logP0_crit         	m1iso_crit        	phases_crit	logP0_hub         	m1iso_hub         	phases_hub	logP0_RHeRL	m1iso_RHeRL	logP0_critL2       	m1iso_critL2      	logP0_hubL2       	m1iso_hubL2       	logP0_RHeRLL2	m1iso_RHeRLL2	logP0_critL2_DEF 	m1iso_critL2_DEF	logP0_hubL2_DEF 	m1iso_hubL2_DEF 	logP0_RHeRLL2_DEF	m1iso_RHeRLL2_DEF	m2iso_crit        	m2iso_RHeRL	m2iso_PmergeMIN	logL_Lsun	logTeff	HR_phases	logP0_PmergeMIN	m1iso_PmergeMIN	q_band            	mtot_band	m1iso_HD            	mtot_yes          	qfin_yes           	m1_yes            	logP0_yes          	q_yes             	mtot_yesL2        	qfin_yesL2        	m1_yesL2          	logP0_yesL2       	q_yesL2           	mtot_yesL2_DEF  	qfin_yesL2_DEF  	m1_yesL2_DEF    	logP0_yesL2_DEF 	q_yesL2_DEF     
0.28067538261602387	70.92349106562033 	12         	0.747369843987788 	62.68636566377915 	8         	 /         	 /         	0.2889652397566878 	8000.             	1.5341913536421872	447.938825136245  	 /           	 /           	0.2889652397566878 	8000.             	1.6413101444762177	150.39081676483153	 /                 	 /                 	55.6355           	 /         	 /             	5.9484   	4.6848 	12       	 /             	 /             	0.9997394429469902	135.2855 	80.                 	72.5855           	0.3046615919691564 	16.95             	1.2806851432855169 	3.282330383480826 	102.88550000000001	0.8492778891175599	47.25             	1.380685143285517 	1.1774708994708996	103.0355          	0.8519740094004727	47.4              	1.380685143285517 	1.1737447257383966
0.3532293046526588 	63.56390022736362 	27         	0.8416434607616454	48.392457240727246	23        	 /         	 /         	0.366515239756688  	8000.             	1.5342124513837705	442.61626430984865	 /           	 /           	0.366515239756688  	8000.             	1.7505049842404126	90.69989276885985 	 /                 	 /                 	55.6355           	 /         	 /             	5.9942   	4.6704 	29       	 /             	 /             	0.3046615919691564	72.5855  	79.55221443397936   	72.7355           	0.30735771225206926	17.099999999999998	1.2806851432855169 	3.253538011695907 	103.0355          	0.8519740094004727	47.4              	1.380685143285517 	1.1737447257383966	103.18549999999999	0.8546701296833855	47.55             	1.380685143285517 	1.1700420609884334
0.44766089091111216	53.758127888985435	-1         	0.9451250286846868	39.54734837495209 	 /        	 /         	 /         	0.46926523975668794	8000.             	1.6384469549848963	132.57466235937255	 /           	 /           	0.46926523975668794	8000.             	1.8882944837893154	63.516193428039536	 /                 	 /                 	55.6355           	 /         	 /             	6.037    	4.6469 	-1       	 /             	 /             	 /                	 /       	77.56891298475328   	72.8855           	0.3100538325349821 	17.249999999999996	1.2806851432855169 	3.225246376811595 	103.18549999999999	0.8546701296833855	47.55             	1.380685143285517 	1.1700420609884334	103.3355          	0.8573662499662984	47.699999999999996	1.380685143285517 	1.1663626834381553
0.566323882881228  	43.43673053147722 	 /         	1.0882507965626627	32.044178114840925	 /        	 /         	 /         	0.607684108720476  	3143.636159740896 	1.7517339995901207	93.87079630074174 	 /           	 /           	0.6076105530473341 	3167.8858036296024	2.036737601140456 	52.820317115783695	 /                 	 /                 	55.6355           	 /         	 /             	6.0755   	4.6131 	 /       	 /             	 /             	 /                	 /       	77.14285714285714   	73.0355           	0.312749952817895  	17.4              	1.2806851432855169 	3.1974425287356327	103.3355          	0.8573662499662984	47.699999999999996	1.380685143285517 	1.1663626834381553	103.4855          	0.8600623702492113	47.849999999999994	1.380685143285517 	1.1627063740856847
0.7132303432757835 	33.984995567697375	 /         	1.2250407661008027	27.344464870717342	 /        	 /         	 /         	0.7855731226654722 	471.15239021760664	1.892671565196919 	69.88162734478959 	 /           	 /           	0.785583474169407  	469.5923714727039 	2.169892840955705 	46.230375633239746	 /                 	 /                 	55.6355           	 /         	 /             	6.1092   	4.5676 	 /       	 /             	 /             	 /                	 /       	76.72633124462288   	73.18549999999999 	0.3154460731008079 	17.549999999999997	1.2806851432855169 	3.170113960113961 	103.4855          	0.8600623702492113	47.849999999999994	1.380685143285517 	1.1627063740856847	103.63550000000001	0.8627584905321243	48.               	1.380685143285517 	1.1590729166666667
0.8119554771013104 	29.616104286465152	 /         	1.3778739959433262	23.612758156118975	 /        	 /         	 /         	0.8908283589419015 	220.4564735113825 	2.039822621189401 	56.06610267354805 	 /           	 /           	0.8909214121434764 	222.4065039709433 	2.32191717914349  	40.41859348297119 	 /                 	 /                 	55.6355           	 /         	 /             	6.1261   	4.5359 	 /       	 /             	 /             	 /                	 /       	74.67830128293032   	73.3355           	0.3181421933837208 	17.7              	1.2806851432855169 	3.1432485875706218	103.63550000000001	0.8627584905321243	48.               	1.380685143285517 	1.1590729166666667	103.7855          	0.8654546108150372	48.15             	1.380685143285517 	1.1554620976116303
0.9180392405074196 	25.874299686570733	 /         	1.5439011514298346	20.637485193412907	 /        	 /         	 /         	0.9956053463474237 	125.26732741506706	2.171892845755946 	47.90989974186229 	 /           	 /           	0.9958533705389713 	126.46147100604111	2.456488975221608 	36.334019889831545	 /                 	 /                 	55.6355           	 /         	 /             	6.1407   	4.5013 	 /       	 /             	 /             	 /                	 /       	74.28571428571428   	73.4855           	0.3208383136666337 	17.849999999999998	1.2806851432855169 	3.1168347338935583	103.7855          	0.8654546108150372	48.15             	1.380685143285517 	1.1554620976116303	103.93549999999999	0.86815073109795  	48.3              	1.380685143285517 	1.1518737060041409
1.0604640047637413 	21.18086753912941 	 /         	1.6616006950067295	18.97386680930114 	 /        	 /         	 /         	1.132482583495198  	72.08033000568429 	2.3230674574243766	41.212245930863226	 /           	 /           	1.1319756306012256 	71.24784555884688 	2.5891032536085983	33.01845081329345 	 /                 	 /                 	55.6355           	 /         	 /             	6.1565   	4.4532 	 /       	 /             	 /             	 /                	 /       	73.9024952011775    	73.6355           	0.32353443394954656	17.999999999999996	1.2806851432855169 	3.090861111111112 	103.93549999999999	0.86815073109795  	48.3              	1.380685143285517 	1.1518737060041409	104.0855          	0.8708468513808628	48.449999999999996	1.380685143285517 	1.148307533539732 
1.1968926832981923 	18.183033488097657	 /         	1.8071393220400838	17.149131744777783	 /        	 /         	 /         	1.267331986924657  	55.583419491941285	2.4571451575698173	36.725100004360485	 /           	 /           	1.2674358949617623 	55.696662132693355	2.7390622153260833	29.911916694641114	 /                 	 /                 	55.6355           	 /         	 /             	6.1682   	4.4071 	 /       	 /             	 /             	 /                	 /       	71.7853493995055    	73.7855           	0.32623055423245945	18.15             	1.2806851432855169 	3.065316804407714 	104.0855          	0.8708468513808628	48.449999999999996	1.380685143285517 	1.148307533539732 	104.2355          	0.8735429716637757	48.599999999999994	1.380685143285517 	1.144763374485597 
1.3495001235137483 	15.766886611005459	 /         	1.9581092120903867	15.61512252796451 	 /        	 /         	 /         	1.4179475052639443 	44.413962879992155	2.5894269235449476	33.18477312090289 	 /           	 /           	1.4182446648490035 	44.646478529358966	2.8785718225278734	27.501148567199706	 /                 	 /                 	55.6355           	 /         	 /             	6.1788   	4.3555 	 /       	 /             	 /             	 /                	 /       	71.42857142857142   	73.93549999999999 	0.32892667451537233	18.299999999999997	1.2806851432855169 	3.0401912568306013	104.2355          	0.8735429716637757	48.599999999999994	1.380685143285517 	1.144763374485597 	104.38550000000001	0.8762390919466887	48.75             	1.380685143285517 	1.1412410256410257
